food_id,Category,food_name,calories,protein,carbs,fat,fiber,sugar,sodium
11789,JUTE,"JUTE,POTHERB,CKD,BLD,DRND,W/SALT",37,3.68,7.29,0.2,2.0,1.0,247
11790,KALE,"KALE,CKD,BLD,DRND,W/SALT",28,1.9,5.63,0.4,2.0,1.25,259
11791,KALE,"KALE,FRZ,CKD,BLD,DRND,W/SALT",30,2.84,5.23,0.49,2.0,1.340000033,251
11792,KALE,"KALE,SCOTCH,CKD,BLD,DRND,W/SALT",28,1.9,5.62,0.41,0.0,0.0,281
11793,KOHLRABI,"KOHLRABI,CKD,BLD,DRND,W/SALT",29,1.8,6.69,0.11,1.100000024,2.799999952,257
11794,LAMBS QUARTERS,"LAMBS QUARTERS,CKD,BLD,DRND,W/SALT",32,3.2,5.0,0.7,2.099999905,0.620000005,265
11795,LEEKS,"LEEKS,(BULB&LOWER LEAF-PORTION),CKD,BLD,DRND,W/SALT",31,0.81,7.62,0.2,1.0,2.109999895,246
11796,LOTUS ROOT,"LOTUS ROOT,CKD,BLD,DRND,W/SALT",66,1.58,16.02,0.07,3.099999905,0.0,281
11797,MUSHROOMS,"MUSHROOMS,CKD,BLD,DRND,W/SALT",28,2.17,5.29,0.47,2.200000048,1.950000048,238
11798,MUSHROOMS,"MUSHROOMS,SHIITAKE,CKD,W/SALT",54,1.56,13.8,0.22,2.099999905,3.609999895,240
11799,MUSTARD GRNS,"MUSTARD GRNS,CKD,BLD,DRND,W/SALT",15,2.26,2.1,0.24,2.0,0.100000001,252
11800,MUSTARD GRNS,"MUSTARD GRNS,FRZ,CKD,BLD,DRND,W/SALT",19,2.27,3.11,0.25,2.799999952,0.319999993,261
11801,MUSTARD SPINACH,"MUSTARD SPINACH,(TENDERGREEN),CKD,BLD,DRND,W/SALT",16,1.7,2.8,0.2,2.0,0.0,250
11802,NEW ZEALAND SPINACH,"NEW ZEALAND SPINACH,CKD,BLD,DRND,W/SALT",12,1.3,2.13,0.17,0.0,0.0,343
11803,OKRA,"OKRA,CKD,BLD,DRND,W/SALT",22,1.87,4.51,0.21,2.5,2.400000095,241
11804,OKRA,"OKRA,FRZ,CKD,BLD,DRND,W/SALT",28,2.08,5.75,0.3,2.799999952,2.869999886,239
11805,ONIONS,"ONIONS,CKD,BLD,DRND,W/SALT",42,1.36,9.56,0.19,1.399999976,4.730000019,239
